p1,p1_units,d1_sample_idx,d1,p2,p2_units,mean_cost,std_cost,cv_pct,min_cost,max_cost,median_cost,q25_cost,q75_cost
1,50,0,89.49038522635581,1,50,72350.10930523869,21473.376277927768,29.679811798671235,12289.5327655246,117804.78746288737,75339.9345571843,61098.389981844215,88496.01042859565
1,50,0,89.49038522635581,2,100,54526.85843969409,26298.840431484972,48.23098411321662,12528.86783269138,111554.78746288737,61025.71812176938,33069.3993195144,77438.61516532478
1,50,0,89.49038522635581,3,150,37430.54267166153,24740.04549310781,66.09587712934328,12645.463322103726,105304.78746288737,32346.349020239588,14518.745269815352,57877.612060880405
1,50,0,89.49038522635581,4,200,25127.18735266557,17557.052606892048,69.87273330864683,12454.071829651119,93554.78746288737,16350.27584748673,14203.023082552532,34509.53613953836
1,50,0,89.49038522635581,5,250,19853.179040172276,10395.10223034507,52.359887599416254,13849.026425334698,81804.78746288738,17205.790795768513,15714.276524495726,19592.528376950002
1,50,0,89.49038522635581,6,300,20620.790106112738,7118.834458917767,34.52260763183604,14862.08103446854,70054.78746288738,19778.834107268754,17570.895861738114,21464.856682977286
1,50,0,89.49038522635581,7,350,22438.955769161556,3589.3410463071637,15.99602531968127,15444.941897911394,38304.78746288737,22147.05827441356,20105.672221953046,24674.280166679077
1,50,0,89.49038522635581,8,400,25092.61828609691,3518.425893922855,14.021756732625676,15993.681522319288,33539.04967152201,25219.261599115085,22234.910193471118,27710.29940239516
1,50,0,89.49038522635581,9,450,28332.665414833857,3515.802106051396,12.40900584034237,18450.42779157291,37564.87305141357,28613.698354505752,25526.732417751322,31056.628913731645
1,50,0,89.49038522635581,10,500,31881.750278625383,3606.883289746469,11.313316421541158,21350.427791572914,39889.87305141357,32187.556280453264,29022.37583585338,34558.23876756436
1,50,1,67.86294114666067,1,50,64262.16418366439,24217.38402365743,37.68529169737105,12399.618188407947,104071.27640144827,68609.81594568591,51521.082941624736,83749.31196450906
1,50,1,67.86294114666067,2,100,44287.268573085676,25819.962642642782,58.301095268571444,12262.806797726578,93338.90161465626,42234.815945685914,18513.27664461934,67980.32990663269
1,50,1,67.86294114666067,3,150,29856.40860425611,21512.381928328552,72.05281188864056,12239.307001588844,80844.89923558795,16665.38313670255,13800.225740474478,43203.40258210372
1,50,1,67.86294114666067,4,200,21468.99579124374,12609.598580019521,58.73399344166076,12819.038466178024,67206.15121135996,16195.606775803768,14616.263735718205,19525.01785841745
1,50,1,67.86294114666067,5,250,18696.70313896061,4761.183581525645,25.465364380761784,13469.36295335181,41363.18680835758,17945.235459496296,15950.801716930737,20026.708442977993
1,50,1,67.86294114666067,6,300,20188.76664135658,3294.366695183858,16.317820467721717,13056.430288087171,26727.832514860896,19917.749549056047,17647.106209073507,22783.01382576752
1,50,1,67.86294114666067,7,350,23322.426992551234,3598.666047886692,15.430066729487638,16221.918620252325,30177.832514860896,22933.472208877756,20925.117488213727,26233.01382576752
1,50,1,67.86294114666067,8,400,26693.10909199532,3779.807920914668,14.160238539047329,19121.918620252327,34152.72171246728,27042.697370094706,24063.820906256828,29159.909911308918
1,50,1,67.86294114666067,9,450,30193.26781451687,3877.1152224797224,12.840992390414968,22021.918620252323,37602.721712467275,30880.337045190026,27535.620937122963,33037.23044266073
1,50,1,67.86294114666067,10,500,33553.83044768766,3772.2752540913784,11.242457876672447,24996.777341054498,40527.8325148609,33967.41565780596,31015.37231432682,36201.677382537695
1,50,2,52.89410844074573,1,50,54203.20577962774,24792.66309113278,45.74021542550736,12227.068492875807,102402.32719931289,59396.17461211977,31552.013084779515,73809.65381030246
1,50,2,52.89410844074573,2,100,36378.70849006619,22737.310580551923,62.5016981753509,12111.679185867877,96000.77269675492,30165.719793652985,14651.462647243405,55270.174076500814
1,50,2,52.89410844074573,3,150,21928.53541608883,14417.732787433977,65.7487265513217,12654.327746259589,78902.3271993129,14731.918466849998,13664.430041159852,23941.02446643781
1,50,2,52.89410844074573,4,200,17670.764082688765,6942.720928494213,39.28930801184583,13111.918126875673,61902.3271993129,15914.485229057276,14415.86468123968,17383.115237220918
1,50,2,52.89410844074573,5,250,18376.668014505703,3037.7219429185993,16.53031953627698,14005.254411074713,35402.3271993129,18034.68432022051,16303.096811904677,19855.08074814023
1,50,2,52.89410844074573,6,300,20933.338092676517,2878.006661788208,13.748436341335701,14629.504245058952,28969.831643537087,20895.455787575534,18803.874555928945,22694.538696084324
1,50,2,52.89410844074573,7,350,23832.54228564718,2952.816257062146,12.389850070004654,16555.36514929809,32419.831643537087,23757.32331764467,21659.464455677524,25502.38998282832
1,50,2,52.89410844074573,8,400,27154.88625269072,3066.5489380901004,11.292807156525072,19455.36514929809,35869.83164353709,27073.114538148584,25016.80360440704,28932.856751171083
1,50,2,52.89410844074573,9,450,30497.726120639923,3139.2824158168,10.293496647581966,22440.49516013022,39319.83164353709,30161.715661037837,28395.854029133912,32402.38998282832
1,50,2,52.89410844074573,10,500,33988.89365344144,3069.6972439132105,9.031471501286708,26522.733067594207,41293.666823129475,33790.90828453803,32009.430397364787,35915.0937538218
1,50,3,85.9548269234141,1,50,73518.68424990935,19638.518609669132,26.712282476265003,12008.249615828483,105164.8981432395,76226.1754483649,67108.59459717612,86279.89559420478
1,50,3,85.9548269234141,2,100,56844.9048618651,22846.105408368636,40.190243019819256,12659.584082209705,98914.8981432395,62544.63520618784,43958.954835945035,74604.2917062883
1,50,3,85.9548269234141,3,150,35680.42971773559,20746.07611262923,58.14413188616119,12906.137327450902,92664.8981432395,31167.85821602199,15229.433455449607,51635.464928104484
1,50,3,85.9548269234141,4,200,21585.5404448019,13734.12677200695,63.62651334641157,12850.905580702749,80914.8981432395,15289.04583591091,14217.499866375272,20671.786044059496
1,50,3,85.9548269234141,5,250,18233.133797193754,7105.022987858022,38.96764575353223,13418.767746649359,69164.8981432395,16593.66914005316,15254.249508974415,18170.512557744652
1,50,3,85.9548269234141,6,300,19302.31694004977,4123.851396794261,21.36454089735627,14547.78007242957,52664.89814323949,18935.808165317532,17558.416797457314,20088.536350156486
1,50,3,85.9548269234141,7,350,21991.15551673508,2755.245318567914,12.528879241798805,15276.924180889593,30468.33110469431,22002.922853977572,20390.330913719703,23084.04837259126
1,50,3,85.9548269234141,8,400,24981.247573038436,3267.7929433610316,13.080983781161793,15937.5885484697,33918.331104694305,24972.09746229368,23177.206219838954,26551.620756369695
1,50,3,85.9548269234141,9,450,28446.69033976398,3554.967211961602,12.496944880059806,18078.48830213381,38058.33296035934,28632.683402495426,26537.465330854233,30266.63801243245
1,50,3,85.9548269234141,10,500,31958.84303631912,3600.8850619198183,11.267257259055498,21630.80762337935,41508.33296035934,32327.63048706425,29696.56064266808,34182.57126419537
1,50,4,37.80524400875563,1,50,48532.93664272303,23380.371579029586,48.17423629471474,11923.479441783307,92981.6030545207,51568.68915006454,26863.37258228128,68120.23529728009
1,50,4,37.80524400875563,2,100,29315.11152805132,19232.136468413617,65.60485519562356,12096.451856051566,81231.6030545207,22426.089881846798,13329.504547312796,41353.23067299698
1,50,4,37.80524400875563,3,150,19269.59341831542,11783.100776524168,61.148673564251396,12448.740874585155,64731.603054520696,14427.67779785949,13520.462171574945,16512.594510852123
1,50,4,37.80524400875563,4,200,17434.512501727728,5012.647347162309,28.7512905604075,13154.285761083063,51449.48898026803,16307.188183828068,14973.945769981065,18054.764995411235
1,50,4,37.80524400875563,5,250,18996.819116937688,2979.845823853744,15.686025147214746,13314.119292652544,30250.728737289108,18689.08152173212,16983.637617576802,20782.32557561432
1,50,4,37.80524400875563,6,300,22146.638347616117,3362.848575237831,15.184465120413234,14788.830389799889,33700.72873728911,21785.4518779509,19724.472020320358,24438.394054508848
1,50,4,37.80524400875563,7,350,25122.45051219206,3463.7804392048483,13.787589859213206,16536.72990414694,32506.628691005055,25056.56437149646,22311.37152351516,27366.399264105654
1,50,4,37.80524400875563,8,400,28613.537246238993,3398.626254118184,11.877686512054376,21087.659453110162,35956.628691005055,28506.56437149646,25906.42007466359,30857.936257504916
1,50,4,37.80524400875563,9,450,32297.47197373246,3625.3354912436052,11.224827423620312,23673.898760213462,40676.41286999686,32058.264032667143,29355.48177354117,34849.301110057444
1,50,4,37.80524400875563,10,500,35959.370319542235,3583.8150176758318,9.966289692587292,28248.898760213462,44126.41286999686,35870.02584183232,33084.44046170719,38221.716963818704
1,50,5,89.85725240817087,1,50,72819.8413918888,19120.901827026613,26.257818558166264,19078.941933988583,107785.48473485594,75063.10906563883,60567.65053395456,83673.83985180216
1,50,5,89.85725240817087,2,100,55731.90583520909,25353.90805404396,45.49262702232304,12965.816651273755,105768.05405039508,60317.408252205554,35735.07227321727,72756.33226479885
